time,microwave
2011-04-20 05:29:43,1571.0
2011-04-20 05:29:47,1598.0
2011-04-20 05:29:50,1585.0
2011-04-20 05:29:54,1574.0
2011-04-20 05:29:57,1596.0
2011-04-20 05:30:01,1581.0
2011-04-20 05:30:05,1572.0
2011-04-20 05:30:08,1595.0
2011-04-20 05:30:18,1586.0
2011-04-20 05:30:21,1587.0
2011-04-20 05:30:25,1587.0
2011-04-20 05:30:29,1555.0
2011-04-20 05:30:32,1583.0
2011-04-20 05:30:36,1582.0
2011-04-20 05:30:40,1551.0
2011-04-20 05:30:43,1579.0
2011-04-20 05:30:47,1576.0
2011-04-20 05:30:51,1545.0
2011-04-20 05:30:55,1572.0
2011-04-20 05:30:58,1568.0
2011-04-20 05:31:02,1541.0
2011-04-20 05:31:06,1567.0
2011-04-20 05:31:09,1557.0
2011-04-20 05:31:18,1538.0
2011-04-20 05:31:22,1555.0
2011-04-20 05:31:25,1533.0
2011-04-20 05:31:29,1555.0
2011-04-20 05:31:33,1553.0
2011-04-20 05:31:37,1521.0
2011-04-20 05:31:40,1543.0
2011-04-20 05:31:44,1545.0
2011-04-20 05:31:48,1520.0
2011-04-20 05:31:51,1545.0
2011-04-20 05:31:55,1541.0
2011-04-20 05:31:59,1515.0
2011-04-20 05:32:03,1542.0
2011-04-20 05:32:06,1537.0
2011-04-20 05:32:10,1511.0
2011-04-20 05:32:19,1531.0
2011-04-20 05:32:22,1505.0
2011-04-20 05:32:26,1514.0
2011-04-20 05:32:30,1528.0
2011-04-20 05:32:33,1504.0
2011-04-20 05:32:37,1518.0
