time,lighting2
2011-04-20 20:28:08,64.0
2011-04-20 20:28:12,65.0
2011-04-20 20:28:20,64.0
2011-04-20 20:28:24,64.0
2011-04-20 20:28:27,64.0
2011-04-20 20:28:31,64.0
2011-04-20 20:28:34,64.0
2011-04-20 20:28:38,64.0
2011-04-20 20:28:41,64.0
2011-04-20 20:28:45,64.0
2011-04-20 20:28:48,64.0
2011-04-20 20:28:52,64.0
2011-04-20 20:28:55,64.0
2011-04-20 20:28:58,64.0
2011-04-20 20:29:02,64.0
2011-04-20 20:29:05,64.0
2011-04-20 20:29:09,64.0
2011-04-20 20:29:12,64.0
2011-04-20 20:29:21,64.0
2011-04-20 20:29:25,64.0
2011-04-20 20:29:28,64.0
2011-04-20 20:29:31,64.0
2011-04-20 20:29:35,64.0
2011-04-20 20:29:38,64.0
2011-04-20 20:29:42,64.0
2011-04-20 20:29:45,64.0
2011-04-20 20:29:49,65.0
2011-04-20 20:29:52,64.0
2011-04-20 20:29:56,64.0
2011-04-20 20:29:59,64.0
2011-04-20 20:30:03,64.0
2011-04-20 20:30:06,64.0
2011-04-20 20:30:09,64.0
2011-04-20 20:30:13,64.0
2011-04-20 20:30:22,64.0
2011-04-20 20:30:25,64.0
2011-04-20 20:30:29,64.0
2011-04-20 20:30:32,64.0
2011-04-20 20:30:36,64.0
2011-04-20 20:30:39,64.0
2011-04-20 20:30:43,64.0
2011-04-20 20:30:46,64.0
2011-04-20 20:30:49,64.0
2011-04-20 20:30:53,64.0
2011-04-20 20:30:56,64.0
2011-04-20 20:31:00,64.0
2011-04-20 20:31:03,64.0
2011-04-20 20:31:07,64.0
2011-04-20 20:31:10,64.0
2011-04-20 20:31:19,64.0
2011-04-20 20:31:23,64.0
2011-04-20 20:31:26,64.0
2011-04-20 20:31:30,64.0
2011-04-20 20:31:33,64.0
2011-04-20 20:31:37,64.0
2011-04-20 20:31:40,64.0
2011-04-20 20:31:43,64.0
2011-04-20 20:31:47,64.0
2011-04-20 20:31:50,64.0
2011-04-20 20:31:54,64.0
2011-04-20 20:31:57,64.0
2011-04-20 20:32:01,64.0
2011-04-20 20:32:04,64.0
2011-04-20 20:32:08,64.0
2011-04-20 20:32:11,64.0
2011-04-20 20:32:20,64.0
2011-04-20 20:32:23,64.0
2011-04-20 20:32:27,64.0
2011-04-20 20:32:30,64.0
2011-04-20 20:32:34,64.0
2011-04-20 20:32:37,64.0
2011-04-20 20:32:41,64.0
2011-04-20 20:32:44,64.0
2011-04-20 20:32:48,64.0
2011-04-20 20:32:51,64.0
2011-04-20 20:32:54,64.0
2011-04-20 20:32:58,64.0
2011-04-20 20:33:01,64.0
2011-04-20 20:33:05,64.0
2011-04-20 20:33:08,64.0
2011-04-20 20:33:12,64.0
2011-04-20 20:33:20,64.0
2011-04-20 20:33:24,64.0
2011-04-20 20:33:27,64.0
2011-04-20 20:33:31,64.0
2011-04-20 20:33:34,64.0
2011-04-20 20:33:38,64.0
2011-04-20 20:33:41,64.0
2011-04-20 20:33:45,64.0
2011-04-20 20:33:48,64.0
