time,refrigerator
2011-04-20 03:12:11,217.0
2011-04-20 03:12:20,223.0
2011-04-20 03:12:23,229.0
2011-04-20 03:12:27,234.0
2011-04-20 03:12:30,230.0
2011-04-20 03:12:34,228.0
2011-04-20 03:12:37,225.0
2011-04-20 03:12:41,218.0
2011-04-20 03:12:44,219.0
2011-04-20 03:12:48,212.0
2011-04-20 03:12:51,211.0
2011-04-20 03:12:54,205.0
2011-04-20 03:12:58,207.0
2011-04-20 03:13:01,203.0
2011-04-20 03:13:05,205.0
2011-04-20 03:13:08,203.0
2011-04-20 03:13:17,202.0
2011-04-20 03:13:21,203.0
2011-04-20 03:13:24,203.0
2011-04-20 03:13:28,199.0
2011-04-20 03:13:31,203.0
2011-04-20 03:13:35,200.0
2011-04-20 03:13:38,200.0
2011-04-20 03:13:41,202.0
2011-04-20 03:13:45,198.0
2011-04-20 03:13:49,200.0
2011-04-20 03:13:52,201.0
2011-04-20 03:13:55,198.0
2011-04-20 03:13:59,200.0
2011-04-20 03:14:02,197.0
2011-04-20 03:14:06,199.0
2011-04-20 03:14:09,200.0
2011-04-20 03:14:18,200.0
2011-04-20 03:14:21,197.0
2011-04-20 03:14:25,199.0
2011-04-20 03:14:28,195.0
2011-04-20 03:14:32,200.0
2011-04-20 03:14:35,198.0
2011-04-20 03:14:39,195.0
2011-04-20 03:14:42,199.0
2011-04-20 03:14:46,198.0
2011-04-20 03:14:49,195.0
2011-04-20 03:14:52,198.0
2011-04-20 03:14:56,199.0
2011-04-20 03:14:59,195.0
2011-04-20 03:15:03,197.0
2011-04-20 03:15:06,200.0
2011-04-20 03:15:10,196.0
2011-04-20 03:15:19,196.0
2011-04-20 03:15:22,198.0
2011-04-20 03:15:26,198.0
2011-04-20 03:15:29,195.0
2011-04-20 03:15:33,198.0
2011-04-20 03:15:36,198.0
2011-04-20 03:15:40,194.0
2011-04-20 03:15:43,197.0
2011-04-20 03:15:47,198.0
2011-04-20 03:15:50,197.0
2011-04-20 03:15:54,196.0
2011-04-20 03:15:57,194.0
2011-04-20 03:16:00,196.0
2011-04-20 03:16:04,197.0
2011-04-20 03:16:07,195.0
2011-04-20 03:16:11,194.0
2011-04-20 03:16:19,197.0
2011-04-20 03:16:23,196.0
2011-04-20 03:16:26,193.0
2011-04-20 03:16:30,195.0
2011-04-20 03:16:33,195.0
2011-04-20 03:16:37,194.0
2011-04-20 03:16:40,195.0
2011-04-20 03:16:43,196.0
2011-04-20 03:16:47,193.0
2011-04-20 03:16:51,192.0
2011-04-20 03:16:54,195.0
2011-04-20 03:16:57,196.0
2011-04-20 03:17:01,197.0
2011-04-20 03:17:04,195.0
2011-04-20 03:17:08,193.0
2011-04-20 03:17:11,194.0
2011-04-20 03:17:20,192.0
