time,lighting3
2011-04-20 18:14:59,34.0
2011-04-20 18:15:02,33.0
2011-04-20 18:15:06,33.0
2011-04-20 18:15:09,33.0
2011-04-20 18:15:12,33.0
2011-04-20 18:15:22,35.0
2011-04-20 18:15:25,34.0
2011-04-20 18:15:28,35.0
2011-04-20 18:15:32,35.0
2011-04-20 18:15:35,35.0
2011-04-20 18:15:39,35.0
2011-04-20 18:15:42,35.0
2011-04-20 18:15:46,36.0
2011-04-20 18:15:49,36.0
2011-04-20 18:15:53,37.0
2011-04-20 18:15:56,37.0
2011-04-20 18:15:59,37.0
2011-04-20 18:16:03,37.0
2011-04-20 18:16:06,37.0
2011-04-20 18:16:10,37.0
2011-04-20 18:16:19,39.0
2011-04-20 18:16:22,39.0
2011-04-20 18:16:25,39.0
2011-04-20 18:16:29,39.0
2011-04-20 18:16:32,39.0
2011-04-20 18:16:36,40.0
2011-04-20 18:16:39,40.0
2011-04-20 18:16:43,40.0
2011-04-20 18:16:46,41.0
2011-04-20 18:16:50,41.0
2011-04-20 18:16:53,42.0
2011-04-20 18:16:57,42.0
2011-04-20 18:17:00,42.0
2011-04-20 18:17:03,42.0
2011-04-20 18:17:07,42.0
2011-04-20 18:17:11,43.0
2011-04-20 18:17:19,43.0
2011-04-20 18:17:23,43.0
2011-04-20 18:17:26,43.0
2011-04-20 18:17:30,44.0
2011-04-20 18:17:33,44.0
2011-04-20 18:17:37,44.0
2011-04-20 18:17:40,45.0
2011-04-20 18:17:44,45.0
2011-04-20 18:17:47,45.0
2011-04-20 18:17:50,45.0
2011-04-20 18:17:54,45.0
2011-04-20 18:17:57,46.0
2011-04-20 18:18:01,46.0
2011-04-20 18:18:04,46.0
2011-04-20 18:18:08,46.0
2011-04-20 18:18:11,46.0
2011-04-20 18:18:20,47.0
2011-04-20 18:18:24,47.0
2011-04-20 18:18:27,47.0
2011-04-20 18:18:31,47.0
2011-04-20 18:18:35,47.0
2011-04-20 18:18:38,47.0
2011-04-20 18:18:42,47.0
2011-04-20 18:18:46,47.0
2011-04-20 18:18:50,47.0
2011-04-20 18:18:53,47.0
2011-04-20 18:18:57,47.0
2011-04-20 18:19:01,47.0
2011-04-20 18:19:04,47.0
2011-04-20 18:19:08,47.0
2011-04-20 18:19:12,46.0
2011-04-20 18:19:20,46.0
2011-04-20 18:19:24,46.0
2011-04-20 18:19:27,46.0
2011-04-20 18:19:31,46.0
2011-04-20 18:19:34,46.0
2011-04-20 18:19:38,46.0
2011-04-20 18:19:42,46.0
2011-04-20 18:19:45,46.0
2011-04-20 18:19:49,46.0
2011-04-20 18:19:53,45.0
2011-04-20 18:19:57,45.0
2011-04-20 18:20:00,45.0
2011-04-20 18:20:04,45.0
2011-04-20 18:20:07,44.0
2011-04-20 18:20:11,45.0
2011-04-20 18:20:19,44.0
2011-04-20 18:20:23,44.0
2011-04-20 18:20:26,44.0
2011-04-20 18:20:30,44.0
