time,lighting1
2011-04-20 20:25:19,87.0
2011-04-20 20:25:23,87.0
2011-04-20 20:25:26,87.0
2011-04-20 20:25:29,86.0
2011-04-20 20:25:33,86.0
2011-04-20 20:25:36,87.0
2011-04-20 20:25:40,86.0
2011-04-20 20:25:43,86.0
2011-04-20 20:25:47,86.0
2011-04-20 20:25:50,86.0
2011-04-20 20:25:54,86.0
2011-04-20 20:25:57,86.0
2011-04-20 20:26:00,86.0
2011-04-20 20:26:04,86.0
2011-04-20 20:26:07,86.0
2011-04-20 20:26:11,85.0
2011-04-20 20:26:20,85.0
2011-04-20 20:26:23,85.0
2011-04-20 20:26:26,85.0
2011-04-20 20:26:30,85.0
2011-04-20 20:26:33,85.0
2011-04-20 20:26:37,85.0
2011-04-20 20:26:40,85.0
2011-04-20 20:26:44,85.0
2011-04-20 20:26:47,85.0
2011-04-20 20:26:51,85.0
2011-04-20 20:26:54,84.0
2011-04-20 20:26:58,85.0
2011-04-20 20:27:01,84.0
2011-04-20 20:27:05,84.0
2011-04-20 20:27:08,84.0
2011-04-20 20:27:12,84.0
2011-04-20 20:27:20,84.0
2011-04-20 20:27:23,84.0
2011-04-20 20:27:27,84.0
2011-04-20 20:27:30,84.0
2011-04-20 20:27:34,84.0
2011-04-20 20:27:37,84.0
2011-04-20 20:27:41,84.0
2011-04-20 20:27:44,84.0
2011-04-20 20:27:48,84.0
2011-04-20 20:27:51,84.0
2011-04-20 20:27:54,84.0
2011-04-20 20:27:58,83.0
2011-04-20 20:28:01,84.0
2011-04-20 20:28:05,84.0
2011-04-20 20:28:08,83.0
2011-04-20 20:28:12,84.0
2011-04-20 20:28:20,84.0
2011-04-20 20:28:24,84.0
2011-04-20 20:28:27,83.0
2011-04-20 20:28:31,83.0
2011-04-20 20:28:34,84.0
2011-04-20 20:28:38,83.0
2011-04-20 20:28:41,83.0
2011-04-20 20:28:45,84.0
2011-04-20 20:28:48,84.0
2011-04-20 20:28:52,84.0
2011-04-20 20:28:55,84.0
2011-04-20 20:28:58,84.0
2011-04-20 20:29:02,83.0
2011-04-20 20:29:05,83.0
2011-04-20 20:29:09,84.0
2011-04-20 20:29:12,83.0
2011-04-20 20:29:21,83.0
2011-04-20 20:29:25,83.0
2011-04-20 20:29:28,83.0
2011-04-20 20:29:31,83.0
2011-04-20 20:29:35,83.0
2011-04-20 20:29:38,83.0
2011-04-20 20:29:42,83.0
2011-04-20 20:29:45,83.0
2011-04-20 20:29:49,83.0
2011-04-20 20:29:52,83.0
2011-04-20 20:29:56,83.0
2011-04-20 20:29:59,83.0
2011-04-20 20:30:03,83.0
2011-04-20 20:30:06,83.0
2011-04-20 20:30:09,83.0
2011-04-20 20:30:13,83.0
2011-04-20 20:30:22,83.0
2011-04-20 20:30:25,83.0
2011-04-20 20:30:29,83.0
2011-04-20 20:30:32,83.0
2011-04-20 20:30:36,82.0
2011-04-20 20:30:39,83.0
2011-04-20 20:30:43,82.0
2011-04-20 20:30:46,82.0
2011-04-20 20:30:49,83.0
2011-04-20 20:30:53,83.0
2011-04-20 20:30:56,82.0
2011-04-20 20:31:00,83.0
2011-04-20 20:31:03,83.0
2011-04-20 20:31:07,83.0
2011-04-20 20:31:10,83.0
2011-04-20 20:31:19,82.0
2011-04-20 20:31:23,82.0
2011-04-20 20:31:26,82.0
2011-04-20 20:31:30,82.0
2011-04-20 20:31:33,82.0
2011-04-20 20:31:37,82.0
2011-04-20 20:31:40,82.0
2011-04-20 20:31:43,82.0
2011-04-20 20:31:47,82.0
2011-04-20 20:31:50,82.0
2011-04-20 20:31:54,82.0
2011-04-20 20:31:57,82.0
2011-04-20 20:32:01,82.0
2011-04-20 20:32:04,82.0
2011-04-20 20:32:08,82.0
2011-04-20 20:32:11,82.0
2011-04-20 20:32:20,82.0
2011-04-20 20:32:23,82.0
2011-04-20 20:32:27,82.0
2011-04-20 20:32:30,82.0
2011-04-20 20:32:34,82.0
2011-04-20 20:32:37,82.0
2011-04-20 20:32:41,82.0
2011-04-20 20:32:44,82.0
2011-04-20 20:32:48,82.0
2011-04-20 20:32:51,82.0
2011-04-20 20:32:54,82.0
2011-04-20 20:32:58,82.0
2011-04-20 20:33:01,82.0
2011-04-20 20:33:05,82.0
2011-04-20 20:33:08,82.0
2011-04-20 20:33:12,82.0
2011-04-20 20:33:20,81.0
2011-04-20 20:33:24,82.0
2011-04-20 20:33:27,82.0
